"counter__count","results__|","results__|__goal_probs_0","results__|__goal_probs_1","results__|__goal_probs_2","results__|__goal_probs_3","results__|__goal_probs_4","results__|__reward_score","results__|__time_spent","results__|__timestep","results__|__true_goal_probs","results__a"
"","","0.9090909090909091","0.09090909090909091","0","0","0","2.68398969451601","0","7","0.9090909090909091",""
"","1607115047337_problem_0_2","0.2","0.2","0.2","0.2","0.2","0.2","4.762","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","3.946","2","0.2",""
"","","0","0","0","1","0","1.4","13.718","3","1",""
"","","0","0","0","1","0","2.4","4.724","4","1",""
"","1607115047337_problem_2_4","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.5333333333333333","0.4666666666666667","0","0","0","0.7333333333333334","0","2","0.5333333333333333",""
"","","0.5333333333333333","0.4666666666666667","0","0","0","1.2666666666666666","0","3","0.5333333333333333",""
"","","0.5333333333333333","0.4666666666666667","0","0","0","1.7999999999999998","0","4","0.5333333333333333",""
"","","0.5333333333333333","0.4666666666666667","0","0","0","2.333333333333333","0","5","0.5333333333333333",""
"","","0.5294117647058824","0.47058823529411764","0","0","0","2.8627450980392153","0","6","0.5294117647058824",""
"","","0.5294117647058824","0.47058823529411764","0","0","0","3.3921568627450975","0","7","0.5294117647058824",""
"","","0.2","0.2","0.2","0.2","0.2","0.2","2.753","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","6.916","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","10.318","3","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.8","7.734","4","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1","3.934","5","0.2",""
"","","0","0","0","0","1","2","16.206","6","1",""
"","","0","0","0","0","1","3","3.758","7","1",""
"","","0","0","0","0","1","4","5.168","8","1",""
"","1607115047337_problem_3_4","0.2","0.2","0.2","0.2","0.2","0.2","3.752","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","3.596","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","5.284","3","0.2",""
